string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13
MSRP,304,102,149,270,,,,,,,,,
TMCB,517,157,212,326,,,,,,,,,
XAQMCB,87,113,281,333,186,334,,,,,,,
XAQAQAQAQAQ,102,118,509,187,434,185,550,202,332,161,224,,
MSRPM,225,94,152,250,110,,,,,,,,
XAQMCB,86,123,445,315,187,366,,,,,,,
MSHJP,213,112,188,189,212,,,,,,,,
XAQMCENP,100,139,339,317,190,134,160,212,,,,,
XAQAQA,89,126,830,197,772,137,,,,,,,
MSHP,199,147,209,243,,,,,,,,,
SRPCENP,116,109,242,201,157,106,240,,,,,,
MSHJP,252,112,185,237,181,,,,,,,,
MSNPCENJP,193,114,198,247,159,138,133,178,111,,,,
TMCENJP,474,127,163,135,107,184,189,,,,,,
XAQMC,91,133,367,303,85,,,,,,,,
XTCB,63,325,192,307,,,,,,,,,
XAQAQAQA,50,90,529,169,701,218,498,287,,,,,
TMCB,509,202,206,341,,,,,,,,,
SRPCENP,99,82,226,176,136,103,187,,,,,,
MSHNP,235,127,194,105,183,,,,,,,,
TMCB,445,138,176,105,,,,,,,,,
XAQMCENP,87,110,342,285,199,176,109,199,,,,,
TMCB,521,137,242,229,,,,,,,,,
XAQAQAQA,100,119,767,230,575,180,528,247,,,,,
MSRNPCENJP,210,85,24,127,250,133,447,108,170,262,,,
MSRPCENPCB,255,105,134,243,214,152,135,263,158,353,,,
MSRNPCRB,183,104,24,126,213,173,13,171,,,,,
TMCENPCB,504,177,149,153,169,225,228,212,,,,,
MSHJP,245,94,239,169,245,,,,,,,,
XAQMCENP,47,106,298,296,237,151,153,230,,,,,
MSRPCRB,224,101,127,274,194,13,443,,,,,,
XAQA,85,101,635,74,,,,,,,,,
XAQAQ,98,132,533,202,195,,,,,,,,
TMCB,863,240,234,400,,,,,,,,,
XAQAQAQ,99,147,867,190,770,241,216,,,,,,
MSRPCB,203,89,86,253,202,222,,,,,,,
TMCB,489,348,220,388,,,,,,,,,
MSRPC,178,101,108,240,192,,,,,,,,
SRPCENP,98,108,301,230,134,135,285,,,,,,
