string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13
MSHJP,170,122,144,175,203,,,,,,,,
XAQMC,101,108,230,320,206,,,,,,,,
ZAQMUCENJP,89,105,249,434,157,210,132,114,184,199,,,
XAQ,93,134,297,,,,,,,,,,
TMCB,512,177,213,216,,,,,,,,,
MSRPCENP,220,105,104,285,173,152,104,180,,,,,
TMCB,756,201,212,200,,,,,,,,,
MUMCENP,245,127,169,241,153,134,125,,,,,,
XAQAQ,88,143,907,265,466,,,,,,,,
SHNPMCENP,121,100,128,254,172,234,139,108,231,,,,
MCENP,390,210,164,106,188,,,,,,,,
MUCB,190,120,192,433,,,,,,,,,
TMCB,526,450,212,332,,,,,,,,,
XAQAMCE,94,125,562,207,331,222,195,,,,,,
XAQAQAQAQA,94,104,440,154,807,214,575,181,353,155,,,
MSRP,191,97,153,281,,,,,,,,,
AQAQ,103,445,172,235,,,,,,,,,
MSHNP,212,122,219,109,293,,,,,,,,
TMCB,501,189,186,348,,,,,,,,,
XAQAQMCB,88,125,444,178,370,420,188,574,,,,,
MUMCB,245,110,193,195,407,,,,,,,,
MSRP,301,103,151,263,,,,,,,,,
TMCB,519,152,217,328,,,,,,,,,
XAQMCB,87,115,286,324,184,335,,,,,,,
MSHP,198,114,207,238,,,,,,,,,
XAQAQAQAQAQ,98,127,501,185,434,190,545,209,331,164,216,,
MSRPM,224,93,152,252,107,,,,,,,,
XAQMCB,86,126,450,306,186,365,,,,,,,
MSHJP,215,111,189,187,213,,,,,,,,
MCENP,275,193,136,157,209,,,,,,,,
XAQAQA,87,131,841,182,776,129,,,,,,,
MSHP,200,143,212,242,,,,,,,,,
SRPCENP,119,110,242,200,155,109,239,,,,,,
MSHJP,250,111,185,241,178,,,,,,,,
TB,518,278,,,,,,,,,,,
MSNPCENJP,191,117,199,244,160,138,132,177,111,,,,
TMCENJP,478,127,161,138,103,183,187,,,,,,
MUCB,207,110,191,307,,,,,,,,,
XAQAQAQA,50,90,532,163,699,229,473,308,,,,,
TMCB,506,205,207,341,,,,,,,,,
SRPCENP,105,83,225,179,134,102,187,,,,,,
MSHNP,241,124,192,107,180,,,,,,,,
SHRPCE,126,33,116,261,140,116,,,,,,,
TMCB,446,140,177,105,,,,,,,,,
XAQA,103,114,493,84,,,,,,,,,
XAQMCENP,89,109,350,278,203,175,112,194,,,,,
TMCB,521,139,243,228,,,,,,,,,
XAQAQAQA,102,118,768,232,569,197,517,242,,,,,
MSNPCENJP,213,86,151,254,129,446,107,171,260,,,,
MSRPCENPCB,265,97,141,239,211,155,131,267,160,348,,,
MSNPCB,178,105,149,214,189,166,,,,,,,
