string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13,duration_14,duration_15,duration_16,duration_17,duration_18
MYFHR,279,306,154,157,138,,,,,,,,,,,,,
MYEL,879,115,315,210,,,,,,,,,,,,,,
GXGFHXSI,569,333,94,220,290,250,169,240,,,,,,,,,,
BTNUS,539,173,166,239,303,,,,,,,,,,,,,
MYFHRGXGFHXGX,221,277,159,125,163,145,251,132,135,358,314,215,368,,,,,
RDNUWUS,123,84,309,149,103,98,241,,,,,,,,,,,
BTUSIL,368,234,282,188,178,123,,,,,,,,,,,,
GXGE,364,279,102,232,,,,,,,,,,,,,,
DNMNUWUWU,96,144,77,265,135,127,378,113,106,,,,,,,,,
RDNMNUWUWUWU,125,66,220,88,88,127,88,320,136,570,125,164,,,,,,
RDNTUSFXGHXSIL,152,87,192,178,194,155,31,237,96,281,260,154,160,90,,,,
BTNMNMNMNUWUS,388,171,302,36,286,64,319,69,248,104,59,72,123,,,,,
BTUSZ,394,280,231,158,118,,,,,,,,,,,,,
BYFHXGHXSIL,501,365,127,152,280,124,249,262,161,220,95,,,,,,,
MYFHXGEL,242,297,108,207,242,113,141,143,,,,,,,,,,
DNTUWUWU,83,235,105,147,78,335,111,290,,,,,,,,,,
BTUSXS,360,233,262,146,289,260,,,,,,,,,,,,
MYFHXG,242,286,169,201,286,154,,,,,,,,,,,,
BTUWU,400,197,268,105,41,,,,,,,,,,,,,
BTXEL,547,155,161,186,126,,,,,,,,,,,,,
MYFHXGFHXS,317,255,178,218,255,116,156,138,290,161,,,,,,,,
BTUW,324,221,344,138,,,,,,,,,,,,,,
BTUSIL,321,172,322,144,153,128,,,,,,,,,,,,
MYEL,445,133,275,257,,,,,,,,,,,,,,
MYFHXSIL,416,258,131,290,262,169,903,95,,,,,,,,,,
BTNMNMN,375,213,276,39,288,43,148,,,,,,,,,,,
BTUWU,380,189,338,129,247,,,,,,,,,,,,,
BTUWU,367,191,419,121,303,,,,,,,,,,,,,
MYFHXGEL,345,235,129,206,262,134,173,102,,,,,,,,,,
BTUW,303,247,367,124,,,,,,,,,,,,,,
MYFHXGE,273,292,170,208,293,139,173,,,,,,,,,,,
MYEL,409,179,274,180,,,,,,,,,,,,,,
BTUWU,371,207,323,131,172,,,,,,,,,,,,,
MYFHXGE,388,266,208,336,301,114,100,,,,,,,,,,,
MYFHXGFHXSI,358,285,135,213,300,128,179,213,282,126,173,,,,,,,
BTUS,559,164,251,446,,,,,,,,,,,,,,
MYFHXSIL,403,268,133,323,280,132,220,125,,,,,,,,,,
MYEL,462,272,216,614,,,,,,,,,,,,,,
BTUWU,368,178,319,113,392,,,,,,,,,,,,,
MYFHXGHXSI,285,329,153,177,229,171,269,279,118,172,,,,,,,,
MYEL,380,164,266,181,,,,,,,,,,,,,,
BTNUWU,429,162,208,148,125,199,,,,,,,,,,,,
BTNUSFXSI,449,148,165,411,148,34,300,175,150,,,,,,,,,
BTUWU,595,252,330,144,202,,,,,,,,,,,,,
MYFHXGFHXSI,265,290,146,248,265,141,139,132,308,118,173,,,,,,,
BTNMNMNMN,438,123,302,32,236,40,352,43,220,,,,,,,,,
MYEL,225,188,396,336,,,,,,,,,,,,,,
MYFHXGHXSIL,228,284,131,205,256,159,302,221,123,242,95,,,,,,,
BTU,432,183,334,,,,,,,,,,,,,,,
BTUWU,376,224,135,111,208,,,,,,,,,,,,,
MYEL,448,177,311,168,,,,,,,,,,,,,,
BTNU,403,191,149,89,,,,,,,,,,,,,,
MYFHXGEL,239,289,190,316,338,120,185,100,,,,,,,,,,
MYFHXGHXSIL,280,298,118,249,452,143,276,315,151,218,93,,,,,,,
BTUSFXGFH,616,160,291,125,45,274,133,140,35,,,,,,,,,
BTNUWUSE,500,214,301,154,103,107,115,137,,,,,,,,,,
MYFHXGFHXSI,284,268,172,287,310,145,160,423,277,122,133,,,,,,,
MYFHXSI,228,184,155,246,269,149,170,,,,,,,,,,,
BTUSFXSIL,464,304,280,106,35,284,164,157,87,,,,,,,,,
BTUWUSFX,259,438,134,113,162,114,34,202,,,,,,,,,,
BTUWUWUWU,198,411,360,107,356,100,395,102,161,,,,,,,,,
MYEL,420,170,216,537,,,,,,,,,,,,,,
BTUSZ,372,234,243,137,122,,,,,,,,,,,,,
BTNMNMNMNUS,403,125,263,40,371,39,409,47,276,214,254,,,,,,,
BTUWU,728,141,333,108,51,,,,,,,,,,,,,
MYFH,283,299,155,313,,,,,,,,,,,,,,
MYFHXGFHXSI,413,281,190,336,301,131,140,179,320,110,156,,,,,,,
BTUWUS,387,365,129,99,137,51,,,,,,,,,,,,
MYFHXGE,287,280,114,196,281,165,170,,,,,,,,,,,
BTUWU,380,327,327,73,33,,,,,,,,,,,,,
MYEL,693,120,261,284,,,,,,,,,,,,,,
BTUWU,151,460,283,97,355,,,,,,,,,,,,,
BTUWUSIL,369,201,140,105,117,175,292,126,,,,,,,,,,
GXGEL,598,298,97,180,778,,,,,,,,,,,,,
MYFHDNTMU,235,285,155,200,70,208,325,111,57,,,,,,,,,
BTUWU,294,623,135,114,165,,,,,,,,,,,,,
MYFH,453,260,117,104,,,,,,,,,,,,,,
BTNMNMNMNUWUS,441,253,262,42,336,37,438,35,327,120,94,91,401,,,,,
MYFHXGFHXSI,331,292,171,258,277,126,139,216,266,154,181,,,,,,,
MYFEL,453,290,26,197,132,,,,,,,,,,,,,
MYFHDNMUSIL,277,250,144,231,82,117,90,214,223,222,122,,,,,,,
MYEL,487,176,222,213,,,,,,,,,,,,,,
BTNMNUWUSZ,402,170,280,59,279,131,108,90,156,175,,,,,,,,
BTUSZ,650,174,248,145,244,,,,,,,,,,,,,
MYFHXSIL,365,297,154,332,261,173,248,95,,,,,,,,,,
MYFHXGFHX,472,258,149,217,296,123,141,175,942,,,,,,,,,
MYFHXGFHXSI,272,309,193,175,263,118,120,260,239,150,153,,,,,,,
MYFHXGE,634,172,186,210,506,135,181,,,,,,,,,,,
MYFHXGE,301,306,152,165,269,119,160,,,,,,,,,,,
MYFHXGFHXGHX,272,273,136,212,284,138,137,175,351,139,231,487,,,,,,
MYFHXGFHXSI,482,291,136,289,290,107,182,252,493,188,131,,,,,,,
YFHXGEL,226,130,213,265,92,227,208,,,,,,,,,,,
MYFHDNTUWUSFXGFH,446,150,115,154,94,210,165,114,72,106,127,31,262,172,121,40,,
MYFHXGFHXSIL,266,263,115,160,293,113,141,132,251,161,338,120,,,,,,
MYEL,713,231,219,1201,,,,,,,,,,,,,,
DNTUWUWUWU,93,259,143,340,100,555,120,475,101,123,,,,,,,,
BTUSZ,434,159,233,157,136,,,,,,,,,,,,,
MYEL,564,196,261,940,,,,,,,,,,,,,,
BTUWUWUWUWUWUWU,329,199,154,104,415,119,392,140,331,110,258,70,380,93,87,,,
BTUSFXGEL,610,248,237,79,33,240,108,170,126,,,,,,,,,
BTNMUWUS,376,201,88,105,153,114,90,872,,,,,,,,,,
BTUWUWUW,432,242,277,132,553,122,395,120,,,,,,,,,,
BTUSZ,536,170,250,156,257,,,,,,,,,,,,,
MYFHXGHX,695,294,112,247,319,147,227,766,,,,,,,,,,
BTNUWU,241,372,127,254,116,27,,,,,,,,,,,,
RDNTUSFXGH,138,57,212,200,322,156,36,243,109,131,,,,,,,,
BTNUWUWUWUWU,415,169,152,137,131,365,130,544,111,239,91,379,,,,,,
BTUSEL,500,210,281,149,119,128,,,,,,,,,,,,
MYFHDNMNUWUSX,266,252,116,226,96,90,54,127,119,111,97,107,197,,,,,
UGEL,56,145,178,98,,,,,,,,,,,,,,
MYFHXGHXSIL,246,278,152,405,268,99,265,231,161,201,88,,,,,,,
B,160,,,,,,,,,,,,,,,,,
MTUWUWUWU,151,232,292,102,239,134,746,122,121,,,,,,,,,
MYFHXGFHXGFHXSI,635,172,191,248,315,160,160,389,450,109,143,140,282,150,133,,,
DNMNUWUS,69,260,63,286,155,124,115,404,,,,,,,,,,
MYFHRDNTU,198,198,133,39,115,97,208,187,100,,,,,,,,,
MYFHDNTUWUSFXSIL,234,286,178,154,87,188,183,137,109,135,104,32,270,189,225,123,,
RDNMUWUWUWUWU,126,78,159,109,324,111,591,145,353,111,205,90,103,,,,,
MYFHRDNUS,288,299,178,160,131,99,190,231,785,,,,,,,,,
MYFHRDNTUS,591,284,157,123,128,79,240,154,249,387,,,,,,,,
RDNMNUWUWUWUWU,119,76,243,82,135,147,114,382,128,390,135,591,85,139,,,,
MYFHXSIL,485,268,155,170,727,172,415,122,,,,,,,,,,
GXGEL,326,351,112,146,1129,,,,,,,,,,,,,
MYEL,488,268,233,290,,,,,,,,,,,,,,
BTUWUWU,363,209,308,135,578,117,95,,,,,,,,,,,
MYFHDNUSIL,215,182,199,84,81,166,232,140,178,93,,,,,,,,
MYEL,634,294,186,698,,,,,,,,,,,,,,
GXFHX,399,366,158,139,1553,,,,,,,,,,,,,
GX,133,238,,,,,,,,,,,,,,,,
MYFHXGEL,346,281,136,173,212,144,139,171,,,,,,,,,,
BTUSZ,469,323,252,162,99,,,,,,,,,,,,,
MYFHXGHXSI,513,239,154,168,313,125,262,237,162,382,,,,,,,,
BTUWUWU,391,204,390,95,634,107,226,,,,,,,,,,,
BTUSZ,488,228,230,147,1064,,,,,,,,,,,,,
MYFHXSIL,591,320,192,279,296,145,624,128,,,,,,,,,,
GXGFHXGFHXSI,324,273,84,143,213,289,120,142,209,267,140,172,,,,,,
BTUWU,442,402,124,120,178,,,,,,,,,,,,,
MYFHXGHL,268,272,176,216,259,109,191,129,,,,,,,,,,
GXGFHXGHXSI,279,231,109,160,295,302,178,277,247,150,130,,,,,,,
